,movie_title,duration,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,num_user_for_reviews,num_critic_for_reviews,num_voted_users,cast_total_facebook_likes,movie_facebook_likes,plot_keywords,facenumber_in_poster,color,title_year,language,country,content_rating,aspect_ratio,movie_imdb_link,gross,budget,imdb_score,genre_1,genre_2
0,Avatar ,178.0,James Cameron,0.0,CCH Pounder,1000.0,Joel David Moore,936.0,Wes Studi,855.0,3054.0,723.0,886204,4834,33000,avatar|future|marine|native|paraplegic,0.0,Color,2009.0,English,USA,PG-13,1.78,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,760505847.0,237000000.0,7.9,Action,Adventure
1,Pirates of the Caribbean: At World's End ,169.0,Gore Verbinski,563.0,Johnny Depp,40000.0,Orlando Bloom,5000.0,Jack Davenport,1000.0,1238.0,302.0,471220,48350,0,goddess|marriage ceremony|marriage proposal|pirate|singapore,0.0,Color,2007.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,309404152.0,300000000.0,7.1,Action,Adventure
2,Spectre ,148.0,Sam Mendes,0.0,Christoph Waltz,11000.0,Rory Kinnear,393.0,Stephanie Sigman,161.0,994.0,602.0,275868,11700,85000,bomb|espionage|sequel|spy|terrorist,1.0,Color,2015.0,English,UK,PG-13,2.35,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,200074175.0,245000000.0,6.8,Action,Adventure
3,The Dark Knight Rises ,164.0,Christopher Nolan,22000.0,Tom Hardy,27000.0,Christian Bale,23000.0,Joseph Gordon-Levitt,23000.0,2701.0,813.0,1144337,106759,164000,deception|imprisonment|lawlessness|police officer|terrorist plot,0.0,Color,2012.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,448130642.0,250000000.0,8.5,Action,Thriller
5,John Carter ,132.0,Andrew Stanton,475.0,Daryl Sabara,640.0,Samantha Morton,632.0,Polly Walker,530.0,738.0,462.0,212204,1873,24000,alien|american civil war|male nipple|mars|princess,1.0,Color,2012.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,73058679.0,263700000.0,6.6,Action,Adventure
6,Spider-Man 3 ,156.0,Sam Raimi,0.0,J.K. Simmons,24000.0,James Franco,11000.0,Kirsten Dunst,4000.0,1902.0,392.0,383056,46055,0,sandman|spider man|symbiote|venom|villain,0.0,Color,2007.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,336530303.0,258000000.0,6.2,Action,Adventure
7,Tangled ,100.0,Nathan Greno,15.0,Brad Garrett,799.0,Donna Murphy,553.0,M.C. Gainey,284.0,387.0,324.0,294810,2036,29000,17th century|based on fairy tale|disney|flower|tower,1.0,Color,2010.0,English,USA,PG,1.85,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,200807262.0,260000000.0,7.8,Adventure,Animation
8,Avengers: Age of Ultron ,141.0,Joss Whedon,0.0,Chris Hemsworth,26000.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,1117.0,635.0,462669,92000,118000,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,4.0,Color,2015.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,458991599.0,250000000.0,7.5,Action,Adventure
9,Harry Potter and the Half-Blood Prince ,153.0,David Yates,282.0,Alan Rickman,25000.0,Daniel Radcliffe,11000.0,Rupert Grint,10000.0,973.0,375.0,321795,58753,10000,blood|book|love|potion|professor,3.0,Color,2009.0,English,UK,PG,2.35,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,301956980.0,250000000.0,7.5,Adventure,Family
10,Batman v Superman: Dawn of Justice ,183.0,Zack Snyder,0.0,Henry Cavill,15000.0,Lauren Cohan,4000.0,Alan D. Purwin,2000.0,3018.0,673.0,371639,24450,197000,based on comic book|batman|sequel to a reboot|superhero|superman,0.0,Color,2016.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,330249062.0,250000000.0,6.9,Action,Adventure
